VD;VD_AP;VD_0S;VD_HAP;VD_0AP;VD_HS;CONT.PREC;OCORRENCIA;CONT.SEGUINTE;ITEM.LEXICAL;TRANSC.FONOLOGICA;CONT.FON.PREC;CFP_abertura;CFP_anterioridade;CFP_tracoposicao1;CFP_tracoposicao2;CONT.FON.SEG;CFS_pontoc;CFS_sonor;TONICIDADE;POSICAO.S;CLASSE.MORFOLOGICA;CLASSE.MORFOLOGICA2;CLASSE.MORFOLOGICA3;MORFEMA.PLURAL;MORFEMA.PLURAL2;MUDANCA.SENTIDO;ESTILO;ARQUIVO;ANO.ENTREVISTA;LOCALIZACAO;PERFIL;ESTADO;PARTICIPANTE;SEXO;IDADE;FAIXA.ETARIA;ESCOLARIDADE;ESCOLARIDADE2;OCUPACAO;INDICE.SOCIO;CLASSE.SOCIAL;CLASSE.SOCIAL.BC;CLASSE.SOCIAL.BCC;IDADE.MIGRACAO;IDADE.MIGRACAO2;TEMPO.SP;TEMPO.SP2;PROP.VIDA.SP;PROP.VIDA.SP2;CID.ORIGEM;CID.RESIDENCIA;MOTIVO;AMIGOS;VIZINHOS;COLEGAS.ESTADO;COLEGAS.NE;COMIDA;MUSICA;CONVERSA;VOLTA;ONDE.MORARIA;ESTADUALIDADE;PAULISTIDADE;NORDESTINIDADE;DIF.SP;DIF.NE;DIF.FALAR;IMOVEL;PROPRIEDADE;NQUARTOS;NBANHEIROS;NPESSOAS;NRENDA;RENDA.IND;RENDA.FAM;ESCOLA.PAI;OCUPACAO.PAI;ESCOLA.MAE;OCUPACAO.MAE;QUALIDADE.GRAV;NATURALIDADE.GRAV;PONTUACAO;DOCUMENTADOR;DURACAO;INDICE.REDE.EST;INDICE.REDE.NE;INDICE.HABITOS
A;A;S;AP;AP;S;que são bem pouco menos <A>;acessíveis <A>;| S Artur Nogueira tem;acessíveis;a-se-'si-vej$;j;fechada;anterior;mais.anterior;menos.posterior;#;#;#;atona;final;adverbio;adverbio;lexical;sim;sim;nao;conversa;ALCP_2018MA-_FabianoJ;2018;00:20:04.061;MA-;AL;FabianoJ;masculino;22;1a;medio;medio.superior;manutenção de estufa;2;D;baixa;baixa;19;19-;2;9-;9;ate1quarto;Girau do Ponciano;Holambra;trabalho;maioria;alguns;alguns;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;9;1;10;5;3;8;casa;alugado;3+;NC;4;3;1SM;2a4SM;NC;pedreiro;NC;donadecasa;2-ruidoalto;5;91;Andreza Parra;00h58min30seg;9;9;11
A;A;S;AP;AP;S;né? | S são pessoas <A>;acolhedoras <A>;porque como eu estou <E>;acolhedoras;a-ko-Le-'do-Ra$;a;aberta;central;menos.anterior;menos.posterior;p;dorsal.labial;surda;atona;final;adjetivo;adjetivo;lexical;sim;sim;nao;conversa;PBCP_2018FB-_LucianaB;2018;00:20:06.247;FB-;PB;LucianaB;feminino;27;1a;superior;medio.superior;Operadora de caixa;2,38;C2;baixa;media;22;20+;6;9-;22;ate1quarto;Sousa;Campinas;familia;maioria;nao;varios;nao;1xmes;sempre;todo.dia;nunca;outro;10;8;10;7;6;10;casa;proprio;1;1;3;2;1a2SM;1a2SM;analfabeto;Agricultor;analfabeto;Agricultora;5-ruidopouco;5;95;Marina Russo;01h00min39seg;11;11;6
A;A;S;AP;AP;S;<A> pessoas <A> são mais <A>;acomodadas <A>;| S minha opinião |;acomodadas;a-ko-mo-'da-da$;a;aberta;central;menos.anterior;menos.posterior;#;#;#;atona;final;adjetivo;adjetivo;lexical;sim;sim;nao;conversa;PBCP_2018FA+_RitaS;2018;00:20:09.258;FA+;PB;RitaS;feminino;40;2a.3a;medio;medio.superior;Administradora (trabalha em casa);2,25;C2;baixa;media;9;19-;29;10+;73;maismetade;Soledade;Paulinia;familia;metade;nao;nao;nao;1xsemana;sempre;1xsemana;nunca;outro;7;7;7;10;8;6;casa;proprio;3+;2;2;1;1a2SM;1a2SM;NC;Aposentado;NC;Donadecasa;5-ruidopouco;5;94;Fernanda Guirelli;00h48min47seg;6;6;6
P;P;S;AP;AP;S;não usa e a gente se;acostuma <P>;usar aqui né? | D1;acostuma;a-ko$-'tu-ma;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2017FB+_MarisaR;2017;00:20:16.640;FB+;PB;MarisaR;feminino;45;2a.3a;fund2;fund;Diarista;1,83;D;baixa;baixa;19;19-;26;10+;58;maismetade;Soledade;Paulinia;familia;maioria;varios;nao;nao;1xsemana;sempre;todo.dia;1xano;estado.origem;10;6;10;10;8;10;casa;proprio;2;2;5;1;1a2SM;1a2SM;NC;Aposentado;NC;Aposentada;3-ruidomedio;5;94;Fernanda Guirelli;00h43min59seg;9;11;11
P;P;S;AP;AP;S;tempo aqui a gente entende que;acostuma <P>;mesmo <A> | S mas;acostuma;a-ko$-'tu-ma;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2018MA-_JonasP;2018;00:20:20.021;MA-;PB;JonasP;masculino;23;1a;medio;medio.superior;Agricultor;2,17;C2;baixa;media;17;19-;6;9-;26;de1a2quartos;Nova Holinda;EngenheiroCoelho;trabalho;maioria;varios;alguns;alguns;tododia;nunca;todo.dia;menos1xano;estado.origem;10;0;10;10;9;10;casa;alugado;2;1;3;2;1a2SM;1a2SM;NC;NC;NC;NC;3-ruidomedio;5;91;Marina Russo;00h52min16seg;10;10;9
A;A;S;AP;AP;S;essa né | S mas <0>;acostuma <A>;viu a gente acostuma <P>;acostuma;a-ko$-'tu-ma;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2018MB+_MatheusA;2018;00:20:20.021;MB+;PB;MatheusA;masculino;50;2a.3a;fund1;fund;Trabalha com a parte industrial em empresa;2,17;C2;baixa;media;20;20+;30;10+;60;maismetade;Soledade;Paulinia;trabalho;metade;alguns;nao;alguns;1xmes;nunca;todo.dia;1xano;estado.origem;9;9;10;8;3;9;casa;proprio;3+;3+;4;2;2a4SM;2a4SM;NC;Falecido;NC;Aposentada;5-ruidopouco;5;99;Fernanda Guirelli;01h05min23seg;7;7;8
P;P;S;AP;AP;S;<0> acostuma <A> viu a gente;acostuma <P>;com tudo que é ruim;acostuma;a-ko$-'tu-ma;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;verbo;verbo;lexical;nao;nao;nao;conversa;PBCP_2018MB+_MatheusA;2018;00:20:22.639;MB+;PB;MatheusA;masculino;50;2a.3a;fund1;fund;Trabalha com a parte industrial em empresa;2,17;C2;baixa;media;20;20+;30;10+;60;maismetade;Soledade;Paulinia;trabalho;metade;alguns;nao;alguns;1xmes;nunca;todo.dia;1xano;estado.origem;9;9;10;8;3;9;casa;proprio;3+;3+;4;2;2a4SM;2a4SM;NC;Falecido;NC;Aposentada;5-ruidopouco;5;99;Fernanda Guirelli;01h05min23seg;7;7;8
P;P;S;AP;AP;S;"sei o quê"" é porque é";acostumada <P>;na cidade né | S;acostumada;a-ko$-tu-'ma-da;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2017FB-_JosileideS;2017;00:20:22.639;FB-;AL;JosileideS;feminino;33;1a;fund1;fund;auxiliar-cozinha;1,1;E;baixa;baixa;31;20+;1;9-;0;ate1quarto;Taquarana;Campinas;trabalho;maioria;nao;nao;alguns;tododia;as.vezes;1xmes;nunca;estado.origem;10;0;10;10;5;10;casa;alugado;2;1;4;2;1SM;1a2SM;analfabeto;agricultor;analfabeto;agricultora;2-ruidoalto;5;73;Fernanda Guirelli;01h24min24seg;5;7;7
A;A;S;AP;AP;S;lá | S eh | S;acostumado <A>;ganhar tão pouco chega aqui;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2016MA+_JefersonL;2016;00:20:28.126;MA+;AL;JefersonL;masculino;32;1a;fund1;fund;Construtor-pedreiro;1,47;E;baixa;baixa;15;19-;17;10+;53;maismetade;Coité do Noia;Sumare;trabalho;nenhum;nao;nao;varios;1xsemana;sempre;1xsemana;nunca;outro;10;5;10;9;7;10;casa;alugado;2;1;4;2;1a2SM;1a2SM;analfabeto;Agricultor;fund1;Doméstica;NA;NA;NA;Livia Oushiro (2018)/Lucas Eberle (2016);00h31min46seg;2;2;6
P;P;S;AP;AP;S;lá eh | S que é;acostumado <P>;com o clima de lá;acostumado;a-ko$-tu-'ma-do;o;meia.fechada;posterior;menos.anterior;mais.posterior;t;coronal;surda;atona;medial;adjetivo;adjetivo;lexical;nao;nao;nao;conversa;ALCP_2017MA-_WellingtonF;2017;00:20:31.570;MA-;AL;WellingtonF;masculino;21;1a;medio;medio.superior;Garçom;2,67;C1;media;media;19;19-;2;9-;10;ate1quarto;Arapiraca;Campinas;trabalho;maioria;nao;varios;varios;tododia;sempre;todo.dia;1xano;outro;10;1;10;9;0;10;outro;alugado;2;1;6+;NC;1a2SM;NC;NC;NC;NC;NC;3-ruidomedio;5;84;Fernanda Guirelli;00h47min40seg;13;13;10
