audiofile;word;prev_phone;phone;next_phone;starttime;duration;centergravity;TEMPO;N;VD;VD_AP;VD_0S;VD_HAP;CONT_PREC;OCORRENCIA;CONT_SEGUINTE;ITEM_LEXICAL;TRANSC_FONOLOGICA_SILAC;CONT_FON_PREC;CONT_FON_SEG;CFS_ponto;TONICIDADE;POSICAO_S;CLASSE_MORFOLOGICA;STATUS_MORFOLOGICO;ARQUIVO;LOCALIZACAO;AMOSTRA;ESTADO;GENERO;IDADE;FAIXA_ETARIA;ESCOLARIDADE;IDADE_MIGRACAO;IDADE_MIGRACAO_fat;TEMPO_RESIDENCIA;TEMPO_RESIDENCIA_fat;INDICE_SOCIO;CLASSE_SOCIAL;QUAL_AUDIO;diferenca_tempo
PBCP_2018MB+_MatheusA;acostuma;o;s;t;1860,683;50;1027;00:31:00.683;7030;A;A;S;AP;D1 sempre é S mas <0>;acostuma <A>;viu a gente acostuma <P>;acostuma;a-kos-'tu-ma;o;t;coronal;atona;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:31:00;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;6,82999999999993e-01
PBCP_2018MB+_MatheusA;acostuma;o;s;t;1861,533;30;522;00:31:01.533;7030;A;A;S;AP;D1 sempre é S mas <0>;acostuma <A>;viu a gente acostuma <P>;acostuma;a-kos-'tu-ma;o;t;coronal;atona;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:31:00;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,53299999999990e+00
PBCP_2018MB+_MatheusA;alagoas;a;s;#;2198,902;30;517;00:36:38.902;7087;0;NA;0;NA;conhecer se deus <A> quiser S;Alagoas <0>;D1 precisa dispensar logo do;alagoas;a-la-'go-as;a;#;pausa;atona;final;substantivoProprio;raiz;PBCP_2018MB+_MatheusA;00:36:38;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;9,02000000000044e-01
PBCP_2018MB+_MatheusA;arriscar;i;s;k;1930,051;50;2301;00:32:10.051;7037;A;A;S;AP;aí eu falei então não vou;arriscar <A>;também não D1 mas e;arriscar;a-his-'kar;i;k;posterior;atona;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:32:08;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;2,05099999999993e+00
PBCP_2018MB+_MatheusA;atrás;a;s;d;1356,256;30;496;00:22:36.256;6955;0;NA;0;NA;D1 (xxx) S tem que correr;atrás <0>;de um carro ali tem;atrás;a-'tRas;a;d;coronal;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:22:35;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,25600000000009e+00
PBCP_2018MB+_MatheusA;campinas;a;s;#;2020,781;120;3855;00:33:40.781;7046;A;A;S;AP;Campinas para sair? S não para;Campinas <A>;S nunca assim nunca para;campinas;kA-'pi-nas;a;#;pausa;atona;final;substantivoProprio;raiz;PBCP_2018MB+_MatheusA;00:33:39;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,78099999999995e+00
PBCP_2018MB+_MatheusA;campinas;a;s;d;2301,139;30;313;00:38:21.139;7104;A;A;S;AP;sinto mais <A> seguro aqui em;Campinas <A>;do que na minha cidade;campinas;kA-'pi-nas;a;d;coronal;atona;final;substantivoProprio;raiz;PBCP_2018MB+_MatheusA;00:38:18;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;3,13900000000012e+00
PBCP_2018MB+_MatheusA;churrasquinho;a;s;k;1997,039;80;1024;00:33:17.039;7045;A;A;S;AP;um churrasco S faz <0> um;churrasquinho <A>;S e assim é a;churrasquinho;Su-has-'ki-No;a;k;posterior;atona;medial;substantivo;raiz;PBCP_2018MB+_MatheusA;00:33:16;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;1,03899999999999e+00
PBCP_2018MB+_MatheusA;construi;n;s;t;2307,678;40;1154;00:38:27.678;7106;A;A;S;AP;não S é tanto que eu;construi <A>;até casa lá para ir;construi;kOs-'tRuj;O;t;coronal;atona;medial;verbo;raiz;PBCP_2018MB+_MatheusA;00:38:27;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;6,77999999999884e-01
PBCP_2018MB+_MatheusA;demais;j;s;l;1766,248;30;268;00:29:26.248;7012;H;NA;S;H;eu acho que já fiquei tempo;demais <H>;lá depois <A> que eu;demais;de-'majs;j;l;coronal;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:29:23;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;3,24800000000005e+00
PBCP_2018MB+_MatheusA;depois;j;s;k;1766,588;30;373;00:29:26.588;7013;A;A;S;AP;já fiquei tempo demais <H> lá;depois <A>;que eu aposentei D1 mas;depois;de-'pojs;j;k;posterior;tonica;final;adverbio;raiz;PBCP_2018MB+_MatheusA;00:29:23;Amostra2;PB;masculino;50;2a;fund1;20;20+;30;10+;2,17;C2;04_muito boa;3,58799999999997e+00
